id,group,reason
8,neuromorphic,нейроморфные чипы
45,neuromorphic,нейроморфные чипы
80,neuromorphic,нейроморфные чипы
19,federated,федеративное обучение
43,federated,федеративное обучение
82,federated,федеративное обучение
47,photonic,фотонные процессоры инференса
60,photonic,фотонные процессоры инференса
44,analog_imc,аналоговые вычисления в памяти
84,analog_imc,аналоговые вычисления в памяти
18,orbital,орбитальные вычисления
59,orbital,орбитальные вычисления
24,tee,конфиденциальные вычисления в TEE
94,tee,конфиденциальные вычисления в TEE
67,agent_payments,платежи ИИ-агентов и HTTP 402
69,agent_payments,платежи ИИ-агентов и HTTP 402
2,agent_identity,идентичность и полномочия ИИ-агентов
91,agent_identity,идентичность и полномочия ИИ-агентов
