tech_id,name,name_ru,name_en,name_en_manual,name_gloss,name_inline_gloss,tech_key,area,label,negative_type,terms,context_terms,search_terms_manual,anchor_volume,n_attested_names,blind_choice,model_version,prompt_version_norm
s1,Квантово-инспирированное сжатие моделей для запуска LLM на edge-железе,Квантово-инспирированное сжатие моделей для запуска LLM на edge-железе,edge model compression,,,,edge model compression,Edge,1,,"[""edge model compression""]",[],,14,1,True,yandexgpt-5-pro,v4
s2,"Identity & access management для ИИ-агентов (agent identity, scoped permissions)",Identity & access management для ИИ-агентов,ai access control system,,"agent identity, scoped permissions",,ai access control system,Защита ИИ,1,,"[""ai access control system""]",[],,2,1,True,yandexgpt-5-pro,v4
s3,Автоматизированный red-teaming ИИ-моделей как услуга (continuous AI red teaming),Автоматизированный red-teaming ИИ-моделей как услуга,automated red teaming for ai,,continuous AI red teaming,,automated red teaming for ai,Защита ИИ,1,,"[""automated red teaming for ai""]",[],,2,1,True,yandexgpt-5-pro,v4
s4,Сканеры безопасности MCP-серверов и защита от tool poisoning,Сканеры безопасности MCP-серверов и защита от tool poisoning,ai infrastructure security,,,,ai infrastructure security,Защита ИИ,1,,"[""ai infrastructure security""]",[],,6,1,True,yandexgpt-5-pro,v4
s5,CAD-native «engineering intelligence»: ИИ-суррогаты физики + генеративное проектирование деталей под производимость,CAD-native «engineering intelligence»: ИИ-суррогаты физики + генеративное проектирование деталей под производимость,cad generative design,,,,cad generative design,Индустриальный ИИ,1,,"[""cad generative design""]",[],,13,3,True,yandexgpt-5-pro,v4
s6,"Автономные агенты закупок и цепей поставок, работающие в ERP/e-mail/мессенджерах как «цифровые снабженцы»","Автономные агенты закупок и цепей поставок, работающие в ERP/e-mail/мессенджерах как «цифровые снабженцы»",autonomous procurement agents,,,,autonomous procurement agents,Индустриальный ИИ,1,,"[""autonomous procurement agents""]",[],,8,3,True,yandexgpt-5-pro,v4
s7,"Проактивные ИИ-агенты теплового управления: упреждающее охлаждение ЦОД/AI-фабрик по прогнозу нагрузки, а не по факту нагрева","Проактивные ИИ-агенты теплового управления: упреждающее охлаждение ЦОД/AI-фабрик по прогнозу нагрузки, а не по факту нагрева",ai predictive thermal management,,,,ai predictive thermal management,Индустриальный ИИ,1,,"[""ai predictive thermal management""]",[],,1,1,True,yandexgpt-5-pro,v4
s8,Нейроморфные (brain-inspired) чипы для ИИ-нагрузок,Нейроморфные чипы для ИИ-нагрузок,neuromorphic chip,,,brain-inspired,neuromorphic chip,Инфраструктура ИИ,1,,"[""neuromorphic chip""]",[],,1637,3,False,yandexgpt-5-pro,v4
s9,Оптическая коммутация каналов (OCS) в ИИ-фабриках вместо пакетных свитчей,Оптическая коммутация каналов в ИИ-фабриках вместо пакетных свитчей,optical circuit switching,,,OCS,optical circuit switching,Инфраструктура ИИ,1,,"[""optical circuit switching""]",[],,299,3,True,yandexgpt-5-pro,v4
s10,Тиринг KV-кэша: выгрузка контекста в DRAM/NVMe/параллельные ФС,Тиринг KV-кэша: выгрузка контекста в DRAM/NVMe/параллельные ФС,kv cache offloading,,,,kv cache offloading,Инфраструктура ИИ,1,,"[""kv cache offloading""]",[],,15,1,True,yandexgpt-5-pro,v4
