blind_id,term_en,label,category,canonical_concept,note
B01,confidence-aware multimodal fusion,noise,paper_coinage,,"Название фреймворка одной статьи"
B02,ai for robotics,umbrella,hype_umbrella,physical ai,"Зонтичный термин"
B03,contact-driven localization,noise,paper_coinage,,"Метод одной статьи"
B04,vision language action model,plausible_signal,,vision language action model,"VLA — класс моделей с 2023 г."
B05,next-best-view strategy,mature,,next best view planning,"Активное зрение, классика с 1980-х"
B06,neuro symbolic planning,uncertain,,neuro-symbolic AI,"Нейросимвольный ИИ — растущее направление, но уже с обзорами и широкой литературой"
B07,robotic foundation model,plausible_signal,,robot foundation model,"Близко к обучающему сигналу «Robotics foundation models»"
B08,contextual awareness,noise,generic_description,,"Общее понятие"
B09,AI-driven robotic system,noise,generic_description,,"Общее описание"
B10,robotics cybersecurity,plausible_signal,,robot cybersecurity,"Кибербезопасность роботов/physical AI; Exein — единорог"
B11,multi-robot task scheduling,mature,,multi-robot task allocation,"Зрелая область"
B12,robot foundation model,plausible_signal,,robot foundation model,"Дубль B07"
B13,multimodal large language model,mature,,multimodal large language model,"Массовый класс моделей к 2026 г."
B14,lora fine tuning,mature,,low rank adaptation,"Массовая техника с 2021 г., к теме не относится"
B15,contextual awareness for robots,noise,generic_description,,"Описательная фраза"
B16,tactile vision system,uncertain,,vision-based tactile sensor,"Растущая область, название неканоническое"
B17,thermal Gaussian splatting,plausible_signal,niche,3d gaussian splatting,"Очень молодая подобласть (2024–2026); связь с промышленными роботами слабая (инспекция)"
B18,order allocation optimization,noise,research_task,,"Задача исследования операций"
B19,Gaussian Splatting,plausible_signal,,3d gaussian splatting,"3DGS (2023) — быстрый рост, промышленное применение (цифровые двойники, инспекция) раннее"
B20,multimodal intent recognition system,noise,generic_description,,"Описательная фраза"
B21,multi-modal large language models,mature,,multimodal large language model,"Дубль B13"
B22,robotic sewing system,plausible_signal,niche,robotic sewing,"Роботизированный пошив (sewbots) — узкая ранняя ниша"
B23,vision-language models,mature,,vision language model,"Массовый класс моделей"
B24,robotic additive manufacturing,mature,borderline,robotic additive manufacturing,"Как в Г6, Д5, И2"
B25,low rank adaptation,mature,irrelevant,low rank adaptation,"Массовая техника, к теме не относится"
B26,large language model,umbrella,,large language model,"Зонтичный, массовый"
B27,wireless human machine interface,noise,generic_description,,"Описательная фраза"
B28,shared embodied intelligence,noise,paper_coinage,,"Формулировка одной статьи"
B29,agentic AI,umbrella,hype_umbrella_irrelevant,agentic ai,"Модное слово; цитата не упоминает агентов — проверка цитаты формально пройдена, по сути нет"
B30,3D gaussian splatting,plausible_signal,,3d gaussian splatting,"Дубль B19"
B31,vla model integration,plausible_signal,badname,vision language action model,"Дубль B04 с плохим названием"
B32,physical AI,umbrella,hype_umbrella,physical ai,"«Одна из самых горячих отраслей» — хайп-зонтик"
B33,automated guided robot,mature,,automated guided vehicle,"AGV — зрелые; в обучении есть мейнстрим «тележки с навигацией по фиксированным маршрутам»"
B34,automated robotic preparation,noise,generic_description,self-driving laboratory,"Описательная фраза; за ней — автономные лаборатории, но не про промышленных роботов"
B35,classical robotics models,normalizer_failure,,robot foundation model,"Нормализатор перевернул смысл"
B36,GelSight Mini sensor,noise,product_name,vision-based tactile sensor,"Название продукта — промпт это запрещает"
B37,human-humanoid collaboration,uncertain,,humanoid robot,"Гуманоиды в обучении — хайповый мейнстрим; коллаборация с ними — ранняя исследовательская тема"
B38,localization in autonomous robotic system,noise,generic_description,,"Описательная фраза"
B39,adaptive perception system,noise,generic_description,,"Описательная фраза"
B40,automated sewing machinery,plausible_signal,badname,robotic sewing,"Дубль B22 с плохим названием"
B41,zero-shot 6D pose estimation,uncertain,,zero-shot pose estimation,"Молодое исследовательское направление (с 2023–2024), промышленное применение раннее"
