n_id,label,canonical_concept,on_topic,note
N065,umbrella,biometric security,yes,Общий термин
N066,noise,identity-centric security model,no,Описание из заголовка; корпоративная веб-безопасность
N067,mature,multi-omics,no,Биомедицина
N068,mature,crypto arbitrage trading,yes,Зрелая практика
N069,umbrella,cloud computing,no,Общий термин
N070,plausible_signal,LUT-based inference acceleration,yes,Тот же класс что N032
N071,mature,cyber threat intelligence,yes,Зрелый класс
N072,noise,SMM marketing,no,Не технология ИИ
N073,mature,conversational agents,yes,Зрелый класс
N074,mature,computer vision,yes,Зрелый класс
N075,mature,static code analysis,yes,SAST — зрелый класс
N076,umbrella,explainable AI,no,Контекст пищевые модели
N077,noise,cyclostationary models,no,Метод одной статьи
N078,mature,digital twin,no,Контекст образование
N079,mature,approximate computing,yes,Область с 2010-х
N080,mature,biometric authentication,yes,Зрелый класс
N081,mature,artificial immune systems,yes,Старый класс методов
N082,umbrella,machine learning,yes,Зонтичный
N083,umbrella,AI assistants,yes,Зонтичный
N084,mature,anomaly detection,yes,Зрелый класс
N085,mature,diffusion models,no,Генерация лиц; не финтех
N086,mature,DRAM,yes,Зрелая технология
N087,mature,facial recognition,yes,Зрелый класс
N088,noise,deep neural network fusion,yes,Метод одной статьи (геофизика)
N089,mature,vision transformers,yes,Зрелый класс
N090,umbrella,natural language processing,yes,Зонтичный
N091,mature,actor-critic,yes,Зрелые методы RL
N092,mature,functional time series analysis,no,Статметод; не финтех как технология
N093,noise,biometric watermarking,no,Метод одной статьи
N094,noise,adaptive learning platform,no,Образование
N095,umbrella,deep learning,yes,Зонтичный
N096,mature,DAG-based ledger,yes,DAG-реестры с 2016
N097,mature,APT detection,yes,Зрелый класс
N098,mature,vulnerability detection,yes,Зрелый класс
N099,mature,augmented reality,no,Образование
N100,mature,chaos-based encryption,yes,Старая исследовательская линия
N101,mature,DDPG,yes,Зрелый метод RL
N102,mature,convolutional neural networks,yes,Зрелый класс
N103,mature,Hyperledger,yes,С 2015
N104,uncertain,fully homomorphic encryption,yes,"FHE: коммерциализация ранняя (Zama), исследования давние"
N105,mature,anomaly detection,yes,Зрелый класс
N106,mature,finger vein biometrics,yes,В банкоматах с 2000-х
N107,mature,quantum key distribution,yes,Сети QKD работают с 2010-х
N108,mature,diffusion models,yes,Зрелый класс
N109,mature,license plate recognition,no,Не кибербезопасность
N110,umbrella,blockchain IoT,no,Цепи поставок
N111,noise,lattice-based searchable encryption,yes,Метод одной статьи
N112,umbrella,adaptive AI,yes,Зонтичный
N113,mature,RSA,yes,Зрелая
N114,mature,SQL injection detection,yes,Зрелый класс
N115,mature,deep reinforcement learning,no,Общий метод
N116,mature,anomaly detection,no,Зарядка электромобилей
N117,mature,hardware security module,yes,Аппаратные хранилища ключей — зрелые
N118,mature,genetic algorithms,yes,Зрелый класс
N119,umbrella,generative AI,yes,Зонтичный
N120,noise,anomaly detection benchmarking,no,Название бенчмарка
N121,umbrella,deep learning,yes,Зонтичный
N122,mature,key management,yes,Зрелый класс
N123,noise,active reinforcement learning,yes,Фраза одной статьи
N124,mature,Black-Litterman,yes,Модель 1990 года
N125,mature,AI accelerator chip,yes,Зрелый класс
N126,umbrella,AI and robotics,no,Хирургия
N127,mature,fuzzy logic,yes,Зрелый класс
N128,mature,deep reinforcement learning,yes,Зрелый класс
N129,uncertain,quantum machine learning,no,QCNN — ранняя исследовательская линия; как классификатор не кибербезопасность
N130,mature,physics-informed neural networks,yes,С 2019 массово
N131,mature,inverse reinforcement learning,yes,Зрелый метод
N132,mature,attack modeling,yes,Зрелая практика
N133,uncertain,causal imitation learning,yes,Исследовательская линия с 2020
N134,mature,modern portfolio theory,yes,Не технология; 1952
N135,mature,federated learning,no,Сам по себе не кибербезопасность
N136,mature,DDoS detection,yes,Зрелый класс
N137,uncertain,quantum machine learning,no,Вариационный квантовый классификатор; не кибербезопасность
N138,umbrella,explainable AI,no,Пищевые модели
N139,plausible_signal,photonic neural network accelerators,yes,Фотонные ускорители — есть в датасете организаторов как класс
N140,mature,swarm optimization,yes,Зрелые метаэвристики
N141,umbrella,cryptographic protection,no,Хранение биометрии
N142,umbrella,blockchain,no,Здравоохранение
N143,umbrella,explainable AI,no,Сам по себе не кибербезопасность
N144,mature,blockchain,yes,Банки
N145,mature,graph neural networks,no,Общий метод
N146,plausible_signal,analog in-memory computing,no,Мемристорные вычисления в памяти — есть у организаторов; не финтех
N147,mature,bayesian deep learning,yes,Зрелая область
N148,mature,decentralized finance,yes,Зрелый рынок
N149,mature,attribute-based encryption,yes,С 2005
N150,umbrella,deep learning,yes,Зонтичный
N151,noise,neuro-symbolic execution architecture,no,Название архитектуры одной статьи
N152,noise,natural language trading interface,yes,Описание из заголовка
N153,umbrella,machine learning,no,Зонтичный
N154,umbrella,deep learning,no,Зонтичный
N155,mature,zero trust,yes,Зрелая архитектура
N156,umbrella,explainable AI,yes,Зонтичный
N157,mature,transformers,yes,Зрелый класс
N158,umbrella,cyber attack detection,yes,Общий термин
N159,noise,boolean dynamical systems,no,Метод одной статьи
N160,umbrella,blockchain,no,Цепи поставок
N161,umbrella,generative AI,yes,Зонтичный
N162,mature,cancelable biometrics,no,Исследования с 2001; защита шаблонов
N163,mature,representation learning,yes,Зрелая область
N164,mature,anomaly detection,yes,Зрелый класс
N165,mature,emotion recognition,no,Не финтех
N166,umbrella,digital platforms,no,Экономика цепочек стоимости
N167,mature,SARIMAX,no,Статметод
N168,umbrella,internet of things,no,Не кибербезопасность
N169,mature,autonomous vehicles,no,Не кибербезопасность
N170,uncertain,central bank digital currency,yes,"CBDC: пилоты с 2020, цифровой рубль — массовое внедрение только начинается"
N171,umbrella,cognitive computing,no,Зонтичный
N172,mature,graph neural networks,yes,Зрелый класс
N173,noise,cross-spectral face recognition,no,Метод одной статьи
N174,noise,cloud surveillance system,no,Описание
N175,mature,LSTM,no,Общий метод
N176,noise,adaptive threat defense,yes,Тот же документ что N050
N177,mature,deep Q-network,yes,Зрелый метод
N178,mature,large language model,no,Сам по себе не кибербезопасность
N179,mature,actor-critic,yes,Зрелый метод
N180,mature,blockchain interoperability,yes,Cosmos/Polkadot с 2019
