id,name,area,negative_type,pair_with,criterion,evidence_url,evidence_url_2,search_terms
n1,Bluetooth Low Energy как радио батарейных IoT-SoC (Bluetooth Low Energy),Edge,mature,16,Стандарт Bluetooth SIG. 362 новых BLE-дизайна сертифицировано за квартал,https://www.bluetooth.com/specifications/specs/core-specification-6-1/,https://www.nordicsemi.com/-/media/Investor-Relations-and-QA/Quartely-Reports/2025/Q2_Quarterly_Report_2025.pdf,"(""bluetooth low energy"" OR ""bluetooth mesh network"" OR ""low power bluetooth radio"")"
n2,Выделенные NPU в смартфонных SoC (smartphone NPU),Edge,mature,16,Штатный блок SoC. Handset-выручка Qualcomm 27.8 млрд долларов,https://www.sec.gov/Archives/edgar/data/804328/000080432825000085/qcom-20250928.htm,https://www.eetasia.com/premium-smartphone-soc-shipments-to-surge-in-2025/,"(""smartphone neural processing unit"" OR ""mobile application processor accelerator"")"
n3,Кадровые CMOS-сенсоры изображения для автомобильных камер (automotive CMOS image sensors),Edge,mature,17,Стандарт IEEE 2020-2024 и сегмент 15% выручки onsemi,https://investor.onsemi.com/static-files/e062d441-b39d-45e0-b1be-23f6a6e11666,https://standards.ieee.org/ieee/2020/6765/,"(""automotive image sensor"" OR ""CMOS image sensor"" OR ""frame based vision sensor"")"
n4,Горизонтальные IoT-платформы общего назначения (horizontal IoT platforms),Edge,hype,46,Аналитики фиксируют разочарование и уход Google SAP IBM Bosch,https://iot-analytics.com/what-happened-to-iot-platforms-whats-next/,https://rcrwireless.com/20220816/internet-of-things/google-cloud-to-shut-down-iot-core-service-next-year,"(""horizontal IoT platform"" OR ""IoT application enablement"" OR ""IoT cloud platform"")"
n5,Сбор энергии окружающей среды для автономных датчиков (ambient energy harvesting),Edge,hype,16,КПД выпрямителя 36-70% при низкой входной мощности. Развёртываний нет,https://www.mdpi.com/1424-8220/24/23/7567,https://www.sciencedirect.com/science/article/pii/S240584402403809X,"(""RF energy harvesting"" OR ""ambient energy harvesting"" OR ""batteryless sensor node"")"
n6,Ультраузкополосные сети Sigfox 0G для IoT-датчиков (Sigfox 0G network),Edge,fading,,Дважды проходил через суд по банкротству. Доля рынка не растёт,https://rcrwireless.com/20250912/internet-of-things/six-months-sigfox-unabiz,https://www.mdpi.com/2624-831X/6/4/77,"(""ultra narrowband IoT"" OR ""ultra narrow band network"")"
n7,Сети LoRaWAN для датчиков на батарейном питании (LoRaWAN),Edge,mature,,Лидер LPWAN вне Китая. Свыше 350 млн оконечных устройств,https://www.sec.gov/Archives/edgar/data/88941/000008894125000163/smtc-10262025x8k991.htm,https://rcrwireless.com/20240619/internet-of-things/nb-iot-and-lorawan-crowned-the-kings-of-long-range-iot-to-double-connections-to-3-5bn-in-five-years,"(""LoRaWAN network"" OR ""LoRaWAN deployment"" OR ""chirp spread spectrum IoT"")"
n8,Оптическая беспроводная связь в видимом и инфракрасном диапазоне (light communications),Edge,hype,,Стандарт IEEE 802.11bb от 2023 года. Производители не спешат коммерциализировать,https://standards.ieee.org/ieee/802.11bb/10823/,https://techblog.comsoc.org/2023/07/13/new-ieee-802-11bb-standard-to-significantly-boost-lifi-market/,"(""light fidelity communication"" OR ""visible light communication"" OR ""optical wireless LAN"")"
n9,Сверхширокополосное позиционирование и дальнометрия (ultra-wideband ranging),Edge,mature,,Отгружено 450 млн чипов за 2024 год. Более 100 компаний в консорциуме,https://www.pozyx.io/newsroom/the-state-of-uwb,https://www.firaconsortium.org/sites/default/files/2025-02/2024%20FiRa%20Annual%20Report%20-%20Final_0.pdf,"(""ultra wideband ranging"" OR ""ultra wideband positioning"" OR ""fine ranging radio"")"
n10,Сотовые сети 2G и 3G как канал межмашинной связи (legacy cellular machine-to-machine),Edge,fading,,278 отключений 2G и 3G в 83 странах и территориях,https://gsacom.com/paper/2g-3g-switch-off-july-2025/,https://www.gsma.com/connectivity-for-good/spectrum/technology-upgrades-and-legacy-network-sunsets-on-the-rise/,"(""2G network sunset"" OR ""3G network shutdown"" OR ""legacy cellular machine-to-machine"")"
n11,Управление идентификацией и доступом людей и сервисов по OAuth 2.0 (IAM / OAuth 2.0),Защита ИИ,mature,2,Стандарт IETF с 2012. У Okta 20 тысяч клиентов,https://datatracker.ietf.org/doc/rfc6749/,https://www.sec.gov/Archives/edgar/data/1660134/000166013426000020/okta-20260131.htm,"(""OAuth authorization framework"" OR ""enterprise single sign-on"" OR ""workforce identity management"")"
n12,Ручной пентест как услуга (penetration testing services),Защита ИИ,mature,3,Методика NIST 2008. TAS-выручка NCC Group 88 млн фунтов,https://www.nist.gov/publications/technical-guide-information-security-testing-and-assessment,https://www.nccgroup.com/media/aebnh13z/ncc-group-plc-annual-report-and-accounts-for-the-year-ended-30-september-2025.pdf,"(""penetration testing service"" OR ""manual security assessment"" OR ""ethical hacking engagement"")"
n13,Web application firewall для веб-приложений и API (WAF),Защита ИИ,mature,20,Обязателен по PCI DSS 4.0. Akamai называет WAF зрелым продуктом,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/akam-20251231.htm,https://pci.unl.edu/PCI-DSS-v3-2-1-to-v4-0-Summary-of-Changes-r2.pdf,"(""web application firewall"" OR ""API security gateway"")"
n14,Антивирусное сканирование файлов на сигнатуры и эвристики (anti-malware scanning),Защита ИИ,mature,77,AV-TEST ведёт статистику с 1984. У Gen 79 млн платных клиентов,https://www.sec.gov/Archives/edgar/data/849399/000084939926000017/gen-20260403.htm,https://av-test.org/en/statistics/malware/,"(""signature based malware detection"" OR ""antivirus engine"" OR ""endpoint malware scanning"")"
