g_id,label,canonical_concept,on_topic,note
G001,mature,federated learning,no,Общий метод
G002,plausible_signal,autonomous robotic surgery,yes,Автономная хирургия (STAR 2022) — ранние демонстрации
G003,mature,general ML methods,no,Общие методы
G004,mature,conversational agents,yes,Зрелая
G005,uncertain,secretome therapy,yes,"Бесклеточная регенеративная терапия, клинические ранние стадии"
G006,noise,title phrase wearables,yes,Фраза из заголовка
G007,umbrella,IoT in healthcare,yes,Общее
G008,mature,telemedicine,yes,Зрелая
G009,mature,EV charging,yes,Зрелая инфраструктура
G010,mature,imaging physics,no,Не медицина или общие методы
G011,noise,title phrase drug delivery,yes,Фраза из заголовка
G012,uncertain,lithium-sulfur battery,yes,"Литий-серные — давно «на подходе», первые коммерческие шаги"
G013,noise,title phrase materials,yes,Фраза из заголовка
G014,mature,AI medical diagnosis,yes,Зрелая (IDx-DR 2018)
G015,noise,metaheuristic optimization,yes,Метаэвристика одной статьи
G016,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G017,mature,nuclear waste management,yes,Зрелая область
G018,uncertain,cell membrane-coated nanoparticles,yes,"Активные исследования с 2011, клиники нет"
G019,mature,hydrogen fuel cells,yes,Зрелые технологии
G020,uncertain,decellularized bioinks,yes,Исследовательская стадия
G021,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G022,mature,MXene energy storage,yes,"MXene с 2011, массовые исследования"
G023,mature,nuclear waste management,yes,Зрелая область
G024,mature,energy storage technology,yes,Зрелые классы
G025,plausible_signal,high-entropy MOFs,yes,Высокоэнтропийные MOF (с ~2021) для катализа и накопителей — ранний класс
G026,mature,adsorption refrigeration,yes,Зрелая
G027,noise,title phrase robotics,yes,Название работы/продукта
G028,mature,energy storage technology,yes,Зрелые классы
G029,noise,EV charging flexibility,yes,Фраза из заголовка
G030,mature,nuclear waste management,yes,Зрелая область
G031,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G032,plausible_signal,wearable foundation models,yes,Фундаментальные модели по данным носимых (2024+)
G033,mature,virtual inertia control,yes,Исследования с 2010-х
G034,mature,image compression,no,Не медицина
G035,mature,imaging physics,no,Не медицина или общие методы
G036,noise,title phrase drug delivery,yes,Фраза из заголовка
G037,umbrella,energy storage systems,yes,Зонтичный
G038,uncertain,vehicle-to-grid,yes,"V2G: пилоты, массового внедрения нет, концепция с 2007"
G039,plausible_signal,quantum battery,yes,"Квантовые батареи — ранняя физика, эксперименты единичные"
G040,noise,UAV thermography,yes,Фраза из заголовка
G041,mature,smart grid,yes,Зрелая
G042,noise,title phrase drug delivery,yes,Фраза из заголовка
G043,mature,3D bioprinting,yes,Зрелая исследовательская область
G044,umbrella,biomaterials,yes,Зонтичный
G045,mature,hydrogen fuel cells,yes,Зрелые технологии
G046,mature,imaging physics,no,Не медицина или общие методы
G047,mature,MXene energy storage,yes,"MXene с 2011, массовые исследования"
G048,mature,adaptive optics microscopy,yes,Зрелая техника визуализации
G049,mature,deep learning methods,yes,Зрелые методы
G050,mature,wearable monitoring,yes,Зрелая
G051,umbrella,IoT in healthcare,yes,Общее
G052,mature,energy theft detection,yes,Зрелая задача
G053,noise,federated MARL control,yes,Метод одной статьи
G054,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G055,noise,multimodal edge intelligence,no,"Общее, не медицина"
G056,noise,metaheuristic optimization,yes,Метаэвристика одной статьи
G057,umbrella,hydrogen technologies,yes,Зонтичный
G058,mature,carbon capture and storage,yes,CCS с 1996
G059,mature,3D bioprinting,yes,Зрелая исследовательская область
G060,noise,title phrase robotics,yes,Название работы/продукта
G061,noise,bioink manufacturing scaling,yes,Фраза из заголовка обзора
G062,mature,telemedicine,yes,Зрелая
G063,mature,chemical process technology,yes,Зрелые процессы
G064,umbrella,IoT in healthcare,yes,Общее
G065,mature,imaging physics,no,Не медицина или общие методы
G066,noise,metaheuristic optimization,yes,Метаэвристика одной статьи
G067,noise,title phrase robotics,yes,Название работы/продукта
G068,umbrella,biomaterials,yes,Зонтичный
G069,umbrella,machine learning,yes,Зонтичный
G070,noise,title phrase drug delivery,yes,Фраза из заголовка
G071,plausible_signal,commercial fusion power,yes,"Стартапы термоядерной генерации (Helion, Realta) — раунды, без коммерческой генерации"
G072,noise,title phrase wearables,yes,Фраза из заголовка
G073,mature,electric vehicles,yes,Зрелая
G074,uncertain,vehicle-to-grid,yes,"V2G: пилоты, массового внедрения нет, концепция с 2007"
G075,mature,2D material biosensors,yes,Зрелая исследовательская область
G076,mature,data imputation,no,Общий метод
G077,mature,MXene,no,Не медицина
G078,uncertain,DNA nanostructure delivery,yes,ДНК-оригами для доставки — ранняя стадия
G079,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G080,umbrella,IoT in healthcare,yes,Общее
