n_id,label,canonical_concept,on_topic,note
N001,mature,AI accelerator chip,yes,"Специализированные ИИ-чипы — зрелый класс (TPU 2016, массовое производство)"
N002,mature,automated market maker,yes,"AMM (Uniswap 2018), основа DeFi, сформированный рынок"
N003,umbrella,zero trust,yes,"Общая фраза вокруг Zero Trust (NIST SP 800-207, 2020)"
N004,mature,AI accelerator chip,yes,"Аппаратные ускорители ИИ — зрелый класс"
N005,noise,cloud incident response platform,yes,"Заголовок одной статьи, описание"
N006,noise,zero trust IoT,yes,"Описание среды из заголовка одной статьи"
N007,uncertain,AI wearable pendant,yes,"Класс ИИ-носимых устройств (Limitless, Friend, Meta), продуктовая форма; ранний, но не технология в узком смысле"
N008,noise,federated learning with blockchain,no,"Комбинация методов в медицинском IoMT; не финтех"
N009,noise,multimodal biometric authentication,yes,"Название системы из одной статьи; биометрическая аутентификация относится к финтеху (как у организаторов — онбординг)"
N010,noise,biometric image encryption,no,"Метод одной статьи (хаотическое отображение); не финтех"
N011,mature,blockchain-as-a-service,yes,"BaaS с 2015 (Azure/AWS), рынок сложился и частично свернулся"
N012,noise,AI threat detection,yes,"Описание из заголовка"
N013,mature,gait recognition,no,"Распознавание походки — зрелая область биометрии; не финтех"
N014,mature,neocloud,yes,"Neocloud-провайдеры GPU (CoreWeave, Nebius — публичные компании), рынок с лидерами"
N015,noise,distributional regret,yes,"Понятие из одной статьи по бандитам/RL"
N016,umbrella,agentic AI,yes,"Зонтичный термин"
N017,noise,local Android application,no,"Описание приложения; не финтех"
N018,mature,zero trust,yes,"Авторизация в модели Zero Trust — часть зрелой архитектуры"
N019,umbrella,foundation models,no,"Зонтичный термин, контекст онкология; не финтех"
N020,mature,decentralized exchange,yes,"DEX с 2018, сформированный рынок"
N021,mature,fingerprint presentation attack detection,no,"Обнаружение подделки отпечатков — зрелая область; не финтех"
N022,umbrella,generative AI,no,"Зонтичный термин, контекст еда; не финтех"
N023,noise,digital business model,yes,"Управленческое понятие, не технология"
N024,noise,AI threat detection,yes,"Описание из заголовка"
N025,mature,AI notetaker,yes,"ИИ-заметки (Otter, Fireflies, Plaud) — массовый продукт"
N026,noise,Wasserstein normalized autoencoder,no,"Метод одной статьи; обнаружение аномалий в общем виде, не кибербезопасность"
N027,mature,large language model,no,"Зрелая технология; в финтехе как инструмент, не решение финтеха"
N028,mature,AI accelerator chip,yes,"Проектирование собственных ИИ-чипов — зрелая практика"
N029,mature,reasoning models,yes,"Модели рассуждений (с 2024) — массово у всех лидеров к 2026"
N030,mature,robo-advisor,yes,"Робо-эдвайзеры — зрелый рынок с 2010-х"
